country_iso,region,sub_region,groups,country_emoji,country_name,country_url
ABW,east-asia-pacific,southeast-asia,,🇦🇼,Aruba,aruba-capability-ratings
AFG,east-asia-pacific,southeast-asia,,🇦🇫,Afghanistan,afghanistan-capability-ratings
AGO,east-asia-pacific,southeast-asia,,🇦🇴,Angola,angola-capability-ratings
AIA,east-asia-pacific,southeast-asia,,🇦🇮,Anguilla,anguilla-capability-ratings
ALA,east-asia-pacific,southeast-asia,,🇦🇽,Åland Islands,åland-islands-capability-ratings
ALB,east-asia-pacific,southeast-asia,,🇦🇱,Albania,albania-capability-ratings
AND,east-asia-pacific,southeast-asia,,🇦🇩,Andorra,andorra-capability-ratings
ARE,east-asia-pacific,southeast-asia,,🇦🇪,United Arab Emirates,united-arab-emirates-capability-ratings
ARG,east-asia-pacific,southeast-asia,,🇦🇷,Argentina,argentina-capability-ratings
ARM,east-asia-pacific,southeast-asia,,🇦🇲,Armenia,armenia-capability-ratings
ASM,east-asia-pacific,southeast-asia,,🇦🇸,American Samoa,american-samoa-capability-ratings
ATA,east-asia-pacific,southeast-asia,,🇦🇶,Antarctica,antarctica-capability-ratings
ATF,east-asia-pacific,southeast-asia,,🇹🇫,French Southern Territories,french-southern-territories-capability-ratings
ATG,east-asia-pacific,southeast-asia,,🇦🇬,Antigua and Barbuda,antigua-and-barbuda-capability-ratings
AUS,east-asia-pacific,southeast-asia,g20,🇦🇺,Australia,australia-capability-ratings
AUT,east-asia-pacific,southeast-asia,,🇦🇹,Austria,austria-capability-ratings
AZE,east-asia-pacific,southeast-asia,,🇦🇿,Azerbaijan,azerbaijan-capability-ratings
BDI,east-asia-pacific,southeast-asia,,🇧🇮,Burundi,burundi-capability-ratings
BEL,east-asia-pacific,southeast-asia,,🇧🇪,Belgium,belgium-capability-ratings
BEN,east-asia-pacific,southeast-asia,,🇧🇯,Benin,benin-capability-ratings
BES,east-asia-pacific,southeast-asia,,🇧🇶,"Bonaire, Sint Eustatius and Saba",bonaire-sint-eustatius-and-saba-capability-ratings
BFA,east-asia-pacific,southeast-asia,,🇧🇫,Burkina Faso,burkina-faso-capability-ratings
BGD,east-asia-pacific,southeast-asia,,🇧🇩,Bangladesh,bangladesh-capability-ratings
BGR,east-asia-pacific,southeast-asia,,🇧🇬,Bulgaria,bulgaria-capability-ratings
BHR,east-asia-pacific,southeast-asia,,🇧🇭,Bahrain,bahrain-capability-ratings
BHS,east-asia-pacific,southeast-asia,,🇧🇸,Bahamas,bahamas-capability-ratings
BIH,east-asia-pacific,southeast-asia,,🇧🇦,Bosnia and Herzegovina,bosnia-and-herzegovina-capability-ratings
BLM,east-asia-pacific,southeast-asia,,🇧🇱,Saint Barthélemy,saint-barthélemy-capability-ratings
BLR,east-asia-pacific,southeast-asia,,🇧🇾,Belarus,belarus-capability-ratings
BLZ,east-asia-pacific,southeast-asia,,🇧🇿,Belize,belize-capability-ratings
BMU,east-asia-pacific,southeast-asia,,🇧🇲,Bermuda,bermuda-capability-ratings
BOL,east-asia-pacific,southeast-asia,,🇧🇴,"Bolivia, Plurinational State of",bolivia-plurinational-state-of-capability-ratings
BRA,east-asia-pacific,southeast-asia,,🇧🇷,Brazil,brazil-capability-ratings
BRB,east-asia-pacific,southeast-asia,,🇧🇧,Barbados,barbados-capability-ratings
BRN,east-asia-pacific,southeast-asia,,🇧🇳,Brunei Darussalam,brunei-darussalam-capability-ratings
BTN,east-asia-pacific,southeast-asia,,🇧🇹,Bhutan,bhutan-capability-ratings
BVT,east-asia-pacific,southeast-asia,,🇧🇻,Bouvet Island,bouvet-island-capability-ratings
BWA,east-asia-pacific,southeast-asia,,🇧🇼,Botswana,botswana-capability-ratings
CAF,east-asia-pacific,southeast-asia,,🇨🇫,Central African Republic,central-african-republic-capability-ratings
CAN,east-asia-pacific,southeast-asia,,🇨🇦,Canada,canada-capability-ratings
CCK,east-asia-pacific,southeast-asia,,🇨🇨,Cocos (Keeling) Islands,cocos-keeling-islands-capability-ratings
CHE,east-asia-pacific,southeast-asia,,🇨🇭,Switzerland,switzerland-capability-ratings
CHL,east-asia-pacific,southeast-asia,,🇨🇱,Chile,chile-capability-ratings
CHN,east-asia-pacific,southeast-asia,,🇨🇳,China,china-capability-ratings
CIV,east-asia-pacific,southeast-asia,,🇨🇮,Côte d'Ivoire,côte-divoire-capability-ratings
CMR,east-asia-pacific,southeast-asia,,🇨🇲,Cameroon,cameroon-capability-ratings
COD,east-asia-pacific,southeast-asia,,🇨🇩,"Congo, The Democratic Republic of the",congo-the-democratic-republic-of-the-capability-ratings
COG,east-asia-pacific,southeast-asia,,🇨🇬,Congo,congo-capability-ratings
COK,east-asia-pacific,southeast-asia,,🇨🇰,Cook Islands,cook-islands-capability-ratings
COL,east-asia-pacific,southeast-asia,,🇨🇴,Colombia,colombia-capability-ratings
COM,east-asia-pacific,southeast-asia,,🇰🇲,Comoros,comoros-capability-ratings
CPV,east-asia-pacific,southeast-asia,,🇨🇻,Cabo Verde,cabo-verde-capability-ratings
CRI,east-asia-pacific,southeast-asia,,🇨🇷,Costa Rica,costa-rica-capability-ratings
CUB,east-asia-pacific,southeast-asia,,🇨🇺,Cuba,cuba-capability-ratings
CUW,east-asia-pacific,southeast-asia,,🇨🇼,Curaçao,curaçao-capability-ratings
CXR,east-asia-pacific,southeast-asia,,🇨🇽,Christmas Island,christmas-island-capability-ratings
CYM,east-asia-pacific,southeast-asia,,🇰🇾,Cayman Islands,cayman-islands-capability-ratings
CYP,east-asia-pacific,southeast-asia,,🇨🇾,Cyprus,cyprus-capability-ratings
CZE,east-asia-pacific,southeast-asia,,🇨🇿,Czechia,czechia-capability-ratings
DEU,east-asia-pacific,southeast-asia,,🇩🇪,Germany,germany-capability-ratings
DJI,east-asia-pacific,southeast-asia,,🇩🇯,Djibouti,djibouti-capability-ratings
DMA,east-asia-pacific,southeast-asia,,🇩🇲,Dominica,dominica-capability-ratings
DNK,east-asia-pacific,southeast-asia,,🇩🇰,Denmark,denmark-capability-ratings
DOM,east-asia-pacific,southeast-asia,,🇩🇴,Dominican Republic,dominican-republic-capability-ratings
DZA,east-asia-pacific,southeast-asia,,🇩🇿,Algeria,algeria-capability-ratings
ECU,east-asia-pacific,southeast-asia,,🇪🇨,Ecuador,ecuador-capability-ratings
