domain,domain_slug,sub_domain,sub_domain_slug,pillar,pillar_slug,country_iso,country_emoji,country_name,country_slug,date,rating,score,outlook
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Quantum Computing,quantum-computing-ratings,MLI,🇲🇱,Mali,mali-capability-ratings,Aug 2025,FF,4,Neutral
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Quantum Computing,quantum-computing-ratings,PRK,🇰🇵,"Korea, Democratic People's Republic of",korea-democratic-peoples-republic-of-capability-ratings,Aug 2025,SP,2,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Quantum Computing,quantum-computing-ratings,IMN,🇮🇲,Isle of Man,isle-of-man-capability-ratings,Aug 2025,SP,2,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Quantum Computing,quantum-computing-ratings,SLV,🇸🇻,El Salvador,el-salvador-capability-ratings,Aug 2025,SP,2,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Quantum Computing,quantum-computing-ratings,BHS,🇧🇸,Bahamas,bahamas-capability-ratings,Aug 2025,SP,2,Neutral
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Quantum Computing,quantum-computing-ratings,GBR,🇬🇧,United Kingdom,united-kingdom-capability-ratings,Aug 2025,B,15,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Quantum Computing,quantum-computing-ratings,MYS,🇲🇾,Malaysia,malaysia-capability-ratings,Aug 2025,DD,10,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Nuclear Capability,nuclear-capability-ratings,TUR,🇹🇷,Turkey,turkey-capability-ratings,Aug 2025,DD,10,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Quantum Computing,quantum-computing-ratings,COL,🇨🇴,Colombia,colombia-capability-ratings,Aug 2025,DD,10,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Quantum Computing,quantum-computing-ratings,GRC,🇬🇷,Greece,greece-capability-ratings,Aug 2025,DD,10,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Quantum Computing,quantum-computing-ratings,BRN,🇧🇳,Brunei Darussalam,brunei-darussalam-capability-ratings,Aug 2025,LP,1,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Nuclear Capability,nuclear-capability-ratings,BRA,🇧🇷,Brazil,brazil-capability-ratings,Aug 2025,NP,0,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Nuclear Capability,nuclear-capability-ratings,COM,🇰🇲,Comoros,comoros-capability-ratings,Aug 2025,NP,0,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Nuclear Capability,nuclear-capability-ratings,GNB,🇬🇼,Guinea-Bissau,guinea-bissau-capability-ratings,Aug 2025,NP,0,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Nuclear Capability,nuclear-capability-ratings,MDV,🇲🇻,Maldives,maldives-capability-ratings,Aug 2025,NP,0,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Nuclear Capability,nuclear-capability-ratings,MKD,🇲🇰,North Macedonia,north-macedonia-capability-ratings,Aug 2025,NP,0,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Nuclear Capability,nuclear-capability-ratings,MRT,🇲🇷,Mauritania,mauritania-capability-ratings,Aug 2025,NP,0,Neutral
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Nuclear Capability,nuclear-capability-ratings,NAM,🇳🇦,Namibia,namibia-capability-ratings,Aug 2025,NP,0,Stable
Hard,hard-power-capability-ratings,National Security,national-security-capability-ratings,Nuclear Capability,nuclear-capability-ratings,PLW,🇵🇼,Palau,palau-capability-ratings,Aug 2025,NP,0,Stable
