domain_var,subdomain_var,pillar_var,country_iso,assessment_type,score,rating,date,outlook
hard-power,national-security,cyber-capability,AFG,pillar,0,NP,Aug 2025,Neutral
hard-power,national-security,cyber-capability,SOM,pillar,0,NP,Aug 2025,Neutral
hard-power,national-security,cyber-capability,SSD,pillar,0,NP,Aug 2025,Neutral
hard-power,national-security,cyber-capability,YEM,pillar,0,NP,Aug 2025,Neutral
hard-power,national-security,cyber-capability,HND,pillar,3,F,Aug 2025,Negative
hard-power,national-security,cyber-capability,HTI,pillar,3,F,Aug 2025,Negative
hard-power,national-security,cyber-capability,BFA,pillar,4,FF,Aug 2025,Negative
hard-power,national-security,cyber-capability,CAF,pillar,4,FF,Aug 2025,Negative
hard-power,national-security,cyber-capability,COD,pillar,4,FF,Aug 2025,Negative
hard-power,national-security,cyber-capability,ERI,pillar,4,FF,Aug 2025,Negative
hard-power,national-security,cyber-capability,IRQ,pillar,4,FF,Aug 2025,Negative
hard-power,national-security,cyber-capability,LBY,pillar,4,FF,Aug 2025,Negative
hard-power,national-security,cyber-capability,MLI,pillar,4,FF,Aug 2025,Negative
hard-power,national-security,cyber-capability,NER,pillar,4,FF,Aug 2025,Negative
hard-power,national-security,cyber-capability,SDN,pillar,4,FF,Aug 2025,Negative
hard-power,national-security,cyber-capability,SYR,pillar,4,FF,Aug 2025,Negative
hard-power,national-security,cyber-capability,TCD,pillar,4,FF,Aug 2025,Negative
hard-power,national-security,cyber-capability,VEN,pillar,4,FF,Aug 2025,Negative
hard-power,national-security,cyber-capability,MMR,pillar,5,FFF,Aug 2025,Negative
hard-power,national-security,cyber-capability,FSM,pillar,6,E,Aug 2025,Stable
hard-power,national-security,cyber-capability,KIR,pillar,6,E,Aug 2025,Stable
hard-power,national-security,cyber-capability,MHL,pillar,6,E,Aug 2025,Stable
hard-power,national-security,cyber-capability,MWI,pillar,6,E,Aug 2025,Stable
hard-power,national-security,cyber-capability,NAM,pillar,6,E,Aug 2025,Stable
hard-power,national-security,cyber-capability,NRU,pillar,6,E,Aug 2025,Stable
hard-power,national-security,cyber-capability,PLW,pillar,6,E,Aug 2025,Stable
hard-power,national-security,cyber-capability,SLB,pillar,6,E,Aug 2025,Stable
hard-power,national-security,cyber-capability,TLS,pillar,6,E,Aug 2025,Stable
hard-power,national-security,cyber-capability,TON,pillar,6,E,Aug 2025,Stable
hard-power,national-security,cyber-capability,TUV,pillar,6,E,Aug 2025,Stable
hard-power,national-security,cyber-capability,VUT,pillar,6,E,Aug 2025,Stable
hard-power,national-security,cyber-capability,WSM,pillar,6,E,Aug 2025,Stable
